可是當時我的中文還不太好的 可是當時我的中文還是不太好的
謝謝你昨天請我過去你家慶祝你的生日 謝謝你昨天請我過去你家幫你慶祝你的生日
不過那張照片不一定能讓你認出我 不過那張照片不一定讓你認出我
我寄給你這封信 我在寄給你這封信
我很特別 我才很特別
你還不知道怎麼認出我 你還不知道怎麼可以認出我
你可以打電話給我 你還可以打電話給我
但是我的背還是沒有問題 但是我的背子還是沒有問題
我以為我的背一定會很痛 我以為我的背子一定會很痛
吃午餐 我們吃午餐
你去過嗎 你有去過嗎
現在台灣的天氣還很熱 現在台灣的天氣還熱
還要念跟我的系有關的書 還要念跟我的系有關係的書
你太客氣了 你太客氣
就說不要讓我感冒 就不要讓我感冒
其實你晚睡晚起的習慣給我帶來疲勞 其實你的晚睡晚起的習慣給我帶來疲勞
我同意你看法 我同意你
我想寫給你一封關於國語中心舉行的新年晚會的信 我想了寫給你一封關於國語中心舉行的新年晚會的信
既然新年晚會很快就要到了 既然新年晚會很快就要到
你不喜歡的話 你不喜歡那的話
所以我家有三百多本的日文和中文的繪本 所以我家有三百多的日文和中文的繪本
最欣賞的人也不一定在每一方面都完美的人 最欣賞的人也不一定在每一方面完美的人
這本書很特別 這本書很特別的
例如颱風的樣子 颱風的樣子
可是有一點冷 可是有一點冷了
上次我們約好一起出去的計畫 上次我們約好了的一起出去的計畫
你過年呢 你的過年呢
我很難過 我很難過吧
你記住了嗎 你記住嗎
可能你不認得我 可能你不可以認得我
他是我以前的室友 他是我的以前的室友
黃色的靴子 黃色的靴
找到比較好 容易找到比較好
聞共和黨候選人的政見而色變 聞到共和黨候選人的政見而色變
我還了解一點台灣文化 我還了解一點的台灣文化
所以我現在要趕快開始試任何有效的方法 所以我現在要趕快開始試試看任何有效的方法
我當然希望學生說中文說得很流利 我當然希望學生會說中文說得很流利
找到好朋友 找到好的朋友
會教中文課 教中文課
因為我覺得對學生學用中文說自己的想法非常有用 因為我覺得對學生用中文說自己的想法非常有用
然後去西門町 然後要去西門町
然後去淡水 然後要去淡水
台灣下個月天氣 台灣的下個月天氣
我們先去１０１大樓逛街 先去１０１大樓逛街
可是我覺得下課後練習一次 可是我覺得下課後練習一
再加強練習的時候可以學生詞 再加練習的時候可以學生詞
我參加了這場活動很好 我參加了這場活動就很好
我也同意很多人說的就是「中國菜的味道很好」 我也同意跟很多人說的就是「中國菜的味道很好」
對我來說這兩個菜都滿好吃的 對我來說這兩個菜滿好吃的
印尼做菜的方法不容易 印尼做的菜的方法不容易
所以很多人如果喜歡重口味的一定很喜歡印尼菜 所以很多人如果喜歡重口味一定很喜歡印尼菜
可是我覺得這兩種菜都滿好吃的 可是我覺得這兩種菜滿好吃的
有一天她介紹我一本小說 有一天她介紹一本小說
考完以後我會輕鬆一點 考完以後我會放輕鬆一點
可是跟我想的都不一樣 可是我想的都不一樣
為甚麼說臭豆腐很好吃 為甚麼說臭豆很好吃
韓國菜大部分都辣 韓國菜大部分辣
而且他以前也在我們的學校念書 而且他以前也在我們的學校念
有一個人他很有名 有一個人他很很有名
我們的學校請一些有名的人來參加 我們的學校也請一些有名的人來參加
我剛剛交了新女朋友 我剛剛交新女朋友
如果你沒有甚麼特別的事請 那如果你沒有甚麼特別的事請
這個星期六 星期六
那個活動是舉行給外國學生的活動 那個活動舉行給外國學生的活動
也很好奇 也很好奇等
她是台灣人 她是台灣的人
有甚麼你還不清楚的你可以打電話問我 有甚麼你還不清楚你可以打電話問我
所以有時候 有時候
所以今年我全部的朋友都開始上大學了 所以今年我全部的朋友都開始上大學
其實我到台灣來是因為我媽媽要我來 其實我到台灣來因為我媽媽要我來
跟好多人感謝的人一樣 好多人感謝的人一樣
她一定非常照顧我 她一定照顧我
我也一樣 我一樣
她連台灣語言交換的朋友都有 她連台灣語言交換朋友都有
所以我很了解 所以我很能了解
我希望你每天讓我們的房間乾淨也每天丟垃圾 我希望你每天讓我們的房間弄乾淨也每天丟拉圾
可是媽媽願意給我用 可是媽媽都是願意給我用
所以她還是繼續幫我 她還是繼續幫我
才把她的錢拿來買我要的東西 才把她的錢拿來買我要的東
「張衛健」是「孫悟空」 「張衛健」再是「孫悟空」
聽說他兩年前因為癌症而過世了 聽說他也兩年前因為癌症而過世了
我一直後悔沒有在陳老師活著的時候對他說聲謝謝 我一直後悔沒有在陳老師活的時候對他說聲謝謝
在每一個人的人生當中都會遇到一個會改變你的思想或人生方向的貴人 在每一個人的人生當中都會遇到一個會改變你的思想或人生的方向的貴人
要先自愛 要先有自愛
這本是雨天的時候才給小孩子聽的 這本雨天的時候才給小孩子聽的
我的台灣人朋友幫我 我的台灣人的朋友幫我
附近除了超級市場以外 這裡附近除了超級市場以外
我就可以吃真的中國菜 我就可以吃了真的中國菜
首先 先
但我不敢吃這樣的菜 我不敢吃這樣的菜
我碰到一個小孩 我碰到有一個小孩
然後用第三堂課練習表演 然後用第三課練習表演
我們要付不少的錢 我們要付不太少的錢
在那裡逛街以後我們也可以吃晚飯 那裡逛街以後我們也可以吃晚飯
我們還沒決定在哪裡見面 我們還沒決定哪裡見面
因此我們應該中午或下午見面 因此我們應該打算中午或下午見面
我心裡的感覺都說不出來 我的心裡的感覺都說不出來
台北的人非常熱情 台北的人非常
還有我媽每天都一直在我的旁邊跟我一起做功課 還有我媽每天都一直在我的旁邊一起做功課
常常享受好吃的東西 常常享受好吃的東
那天我自己會到處去逛 那天我自己會到處去
但最不喜歡的事情是台北的天氣 最不喜歡的事情是台北的天氣
因為我想像你的樣子跟你的照片非常像 因為我想像的你的樣子跟你的照片非常像
因為他的成績很低 是因為他的成績很低
這位政治家已經隨著社會的多元化 這位政家已經隨著社會的多元化
上網就發現共和黨的候選人當選了 上網就發現到共和黨的候選人當選了
我要讓你吃一吃這邊好吃的東西 我要讓你吃一吃這邊好吃的
我可能看起來有一點不一樣 我看起來有一點不一樣
可是我沒吃過跟韓國菜一樣辣的台灣菜 可是我沒吃過跟韓國菜一樣很辣的台灣菜
我發現了那個女孩就是我們顧客的女兒 我發現了那個女孩就是我我們顧客的女兒
如果你還怕會不認得我 如果你還怕會不認得我了
因為你要到我的城市來看看生活得怎麼樣 因為你要到我的城市來看看生活怎麼樣
我們好久之前打算見面 我們好久打算見面
那天我只跟他說了幾句話 那天我只跟他說幾句話
所以他問我跟泰國有關係的問題 所以他問我泰國有關係的問題
我跟他約了好幾次會以後 我跟他約好幾次會以後
跟他在一起的時候讓我很開心 跟他一起的時候讓我很開心
怎麼做才會變成一個有魅力的說話者 怎麼做變成一個有魅力的說話者
會舉著一張紙 會舉一張紙
他想出去走走否則在家裡很悶 他想出去走走否則在家裡悶
所以我要帶您們去淡水吃新鮮的海鮮 所以我也要帶您們去淡水吃新鮮的海鮮
他慢慢地把腳踩上去 他慢慢地把腳上去
你不用幫我帶什麼東西因為這裡什麼都有 你不用幫帶什麼東西因為這裡什麼都有
我會帶你去臺灣最有名的地方 我會帶去臺灣最有名的地方
都沒有時間見面 都沒有時間見個面
麻煩您看一看 麻煩您請看一看
那個小孩跟外婆一起住的時候 那個小孩跟外婆一起住在的時候
時間慢慢過去 時間過去
那部電影演的是 那部電影演是
有看到夏威夷遠近有名的夕陽 有看到夏威夷的遠近有名的夕陽
希望你很快地回信 希望你很快回信
讓我回想到我剛來台灣時 讓我回想到我剛來台灣時候
已經沒有更好的 沒有更好的
那裡有很多好吃的東西你應該會喜歡 那裡有很多好吃的東西你應該喜歡
我看見的那件衣服的價格多少 我所看見的那件衣服的價格多少
交通也很方便 交通也很方便的
可以說是很適合我讀書的環境 可以說很適合我讀書的環境
我遇到一個我很生氣的經驗 我遇到一個很生氣的經驗
因而常在爸爸的背後躲著 因而常在爸爸的背後躲著去
因為我們都是學生 我們都是學生
我跟他一個星期三次會一起念書 我跟他一個星期三次一起念書
有很多好吃的東西 很多好吃的東西
我覺得跳舞的表演是最好的 我覺得歡跳舞的表演是最好的
我們的表演一定得準備好 我們的表演一定準備好
麻煩妳 很麻煩妳
我想妳對九份的老街應該很有興趣 我想妳對九份的老街很有興趣
很適合種很多水果 很適合很多水果
有興趣到玉山去的話 有興趣到玉山去
在台灣可以看到很多不一樣的地形 台灣可以看到很多不一樣的地形
請再寫信或打電話 請再寫信或電話
他變成了一位將軍 他變成一位將軍
她父母為了教育 她父母為了教育機會
我們是在新加坡日本高中一年級的入學典禮當天初次見面的 我們在新加坡日本高中一年級的入學典禮當天初次見面的
我等您來嘍 我一定等您來嘍
我們可以去逛夜市啊 我可以去逛夜市啊
讓她到國外念書 讓她國外念書
比方拿交通費方面來說 比方說拿交通費方面來說
因為我是女性 是因為我是女性
我最感謝的人是我現在的是先生 我最感謝的人是我寫現在的是先生
雖然每天生活不容易可是因為他我很幸福 雖然每天不容易可是因為他我很幸福
所以我決定在他身邊過日子 所以我決定了在他身邊過日子
都是我害他有那麼辛苦的生活負擔 都是我害他有那麼辛苦的生活
都送給我幫助我付學費 都送給我幫助付學費
她為了照顧我而請幾天的假 她為了照顧我請幾天的假
然後跟學生用這個課文的生詞跟文法聊天 然後跟學生用這個課的生詞跟文法聊天
所有的女生都比不上她 所有的女生比不上她
雖然他們兩個跟我想的不太一樣 雖然他們兩個跟我想不太一樣
他應該告訴我 應該告訴我
墾丁的夜市看起來比台北的大 墾丁的夜市是看起來比台北的大
想更快回美國追求我的理想 更快回美國追求我的理想
雖然我一直不感興趣 我一直不感興趣
墾丁在台灣的最南部 墾丁是在台灣的最南部
我當一個爸爸了 我當一個爸爸
故事跟一隻海龜有關 跟一隻海龜有關
我很感謝 很感謝
這本書從我小時候就是我很喜歡的 這本書從我小時候是我很喜歡的
可能有１０分鐘一直不開口 可能１０分鐘一直不開口
因為從小時候開始我就對心理系很有興趣 因為從小時候我就對心理系很有興趣
對人怎麼才對 對人類怎麼才對
這兩個禮拜的時間在老師的關照之下 這兩個禮拜的時間有在老師的關照之下
怎麼說話讓人家聆聽 怎麼說讓人家聆聽
經過了２０年多 了２０年多
還是每天去游泳 還是每天去游泳玩
他們都不知道她就是那個壞人 他們都不知道她是那個壞人
這次我要帶你去我學校附近的師大路 這次我要帶你去我的學校附近的師大路
我知道你最喜歡五月天 我已經知道你最喜歡五月天
所以我想辦法請假 所以我想辦法
雖然他是原住民 雖然是原住民
都碰到下雨 都碰到雨
這次我們玩得很好 這次我們玩得很好玩
而且因為那時是我第一次在中國大陸生活 而且因為那時是我第一次在中國大陸生活的
那裡住了很多ｍａｇｉｃ人跟ａｎｉｍａｌｓ 那裡住很多「ｍａｇｉｃ」人跟animals
你知道我對法律很有興趣 你知道我是對法律很有興趣
這本書是世界上的一本很有名的書 這本書是世界上的一本很有名的
可是餐廳或是飯店裡面比日本冷 可是餐廳或是飯店裡面比日本很冷
不要擔心什麼 不要擔心什麼事
所以不要忘記多帶一件上衣 所以不要忘記帶一件上衣
所以我們坐公車或ＭＲＴ去 所以我們坐公車或ＭＲＴ
祝快樂 快樂
野柳也非常漂亮 野柳也非常漂亮的地方
可是有一點遠 可是一點遠
如果她們是男學生 如果她們是男的學生
我的方法是我要告訴學生如果你是很好的學生 我的別的方法是我要告訴學生如果你是很好的學生
如果她們是女學生 如果她們是女生的學生
我們班討論看過這電影的內容 我們班討論看過電影的內容
雖然電影課會很受學生的歡迎 雖然電影課會很容易受學生的歡迎
她的成績也是一等一 她成績也是一等一
我一見她我的心情就會變得很高興 我一見面她我的心情就會變得很高興
有一個共同點就是音樂的興趣 有一個同點就是音樂的興趣
隨著年齡越來越大 年齡越來越大
這部影片是他自己做的劇本 這部影片是他自己做劇本
告訴她不要難過 告訴她不不要難過
這是周杰倫的影片 就是這是周杰倫的影片
他以前在東京住了十幾年 他以前住在東京住了十幾年
我寫給你這封信的目的 我這次寫給你這封信的目的
這是我們第一次要見面的計畫 這是我們第一次要見面的
我們是在一家餐廳認識的 我們是在有一家餐廳認識的
找到我會比較容易 所以找到我會比較容易
我會帶你去我家 我就會帶你去我家
如果你對我也有一些不滿的話 如果你對我有一些不滿的話
不知道為什麼我們等到現在才打算見面 不知道為什麼我們等到現在在才打算見面
你還想看甚麼地方或是買甚麼東西嗎 你還想看甚麼地方或是買甚麼東西
我們上次已經說好 我們上次已經說
如果你那天發生一些問題 如果你那天會發生一些問題
就喜歡她 就喜歡她了
那個時候她穿著紅色的衣服來你的生日會 那個時候她穿著紅色的衣服來生日會
他們的銷售每月底都是很差勁 他們的銷售每月底都是很差
所以我想請你介紹他 所以我想請介紹他
可是我們大學沒有那麼帥的男生 可是我們大學沒有那麼很帥的男生
因此我就在網路上買了一本 因此我就在網路上買一本
所以他們就是這樣變成有錢的人 所以他們是這樣變成有錢的人
從這本書中我知道飛機是全世界最安全的交通工具 從這本書我知道飛機是全世界最安全的交通工具
我上個週末跟大學的朋友一起去日本旅行 我上個週末跟大學的朋友一起去了日本旅行
我們坐飛機差不多要兩個小時 我們坐飛機差不多兩個小時
我們第一次坐日本的地下鐵 我們第一次坐了日本的地下鐵
有一個職員幫我們才進去了 有一個職員幫我們才能進去了
有日本最有名的溫泉 有在日本最有名的溫泉
因此我經常尋找一些關於工業上或者是工業管理的書 因此我經常尋找有一些關於工業上或者是工業管理的書
沒想到寫那些讓我感動小說的人會是那樣的人 沒想到寫那些讓我感動小說的人會是那麼樣的人
還有我要告訴他們看電視也是一種方法 　還有我要告訴他們是看電視也是一種方法
我覺得好像有人錄影了 我覺得有人錄影了
那時候真的很可怕 那時候真的可怕
我希望老師好好地安排一下 我希望老師好好地安排下
我們也合照了 我們也合照
我想住在山區的房子 我想在住在山區的房子
可是往來交通都方便的 可是交通都方便的
雖然我的朋友說租那麼遠的房子很辛苦 雖然我的朋友說租那遠的房子很辛苦
不像台灣密度那麼高 不像台灣那麼高
我很喜歡現在的房子 我很喜歡現在房子
那個人是個很聰明的人 那個人很聰明的人
所以我覺得畫畫兒是一種藝術 所以我覺得畫畫兒是一種藝術的技術
還得教他們新畫的技術讓他們進步 還得教他們新畫的技術讓他們進步進步
我希望藝術方面可以對他有很多的幫助 我希望這藝術方面可以對他有很多的幫助
我就喜歡上它截然不同的美味了 我就喜歡上它的截然不同的美味了
我都感到恐怖 我都感到恐怖不堪
雖然中國菜沒有日本菜那麼清淡 雖然中國菜沒有日本菜那麼的清淡
我的朋友們之一開始彈吉他 我的朋友們之一開彈吉他
營火是溫暖的 營火溫暖的
我認為我這一天跟以前不一樣 我認為我這一天跟以前變的不一樣
就很高興得跳起來了 就覺得很高興得跳起來了
日子過久了 日子過了
但是我覺得品質很好 我覺得品質很好
因為我們的年紀差不多 因為我們的年紀是差不多
很快地發現我們的興趣差不多 很快發現我們的興趣差不多
她已經在大學唸完了書 她已經在大學唸完了
到現在我只看過你的相片 到現在我只看你的相片
總算可以見面了 總算可以見面
我要等你來以後再告訴你 我要等你來以後告訴你
過了第四天 過了四天
看完了後我才發現在附近有很多人擺地攤 看完了後我才發現在附近有很多擺地攤
我感覺很特別 我的感覺很特別
親愛的李大明 親愛李大明
是一部韓國電影 就是一部韓國電影
作者用真實的生活來寫劇本 作者已用真實的生活來寫劇本
所以我很想知道結果是怎麼樣 所以我很想知道結果是怎麼樣的
但帶給我們多了解現代生活 但給我們多了解現代生活
最特別的地方就是 最特別的地方就是說
從那一天起我找了很久 從那一天我找了很久
我認識了他 我認識他
到現在我跟他交男女朋友差不多半年了 到現在我跟他交男朋友差不多半年了
我雖然整理過 我雖然有整理過
恐怕會太麻煩您 恐怕太麻煩您
因為不知道國語和文化的辛苦 因為不知道國語和文化辛苦
晚上從７點到９點左右 晚上從７點９點左右
我們為了這次的晚會要準備一場戲 我們為了這次的晚會要準備一場戲劇
我就覺得這種無聊感不見了 我就覺得這種無聊不見了
而且現在他們的生活大部分是為了養孩子 而且現在他們的生活大部分的是為了養孩子
我一生都在接受他們的幫助 我一生在接受他們的幫助
除了母語以外 然後除了母語以外
這是感謝父母最好的方法 這是感謝父母的最好的方法
而且太簡單 而太簡單
有的對我來說沒有興趣 有的對我沒有興趣
以及教我們怎麼讓表演更精彩 以及教我們怎麼讓表更精彩
但對我來說方便得不得了 對我來說方便得不得了
目的是讓學生才３個月學到新的語言 課的目的是讓學生才３個月學到新的語言
敬稟 敬稟者
他們隨便賣 他們對他們隨便賣
我馬上下班到她家去照顧她 我馬上下班到她家去照顧
但是普通的舞不行 但是普通的跳舞不行
不管我是否在睡覺 不管我在睡覺
而且會造成的很複雜的問題 而且此會造成的很複雜的問題
而且它的門打開的方式 而且它的門開的方式
我第一次看的時候 我第一次看的時
我喜歡這部電影原因很多 我是這麼喜歡這部電影原因很多
好久不見啦 不好久不見啦
所以還沒決定見面的時間和地點 所以還沒決定見面的時間和地點囉
上個月才滿半年 上個月才滿半年了
午飯吃完了就去新光三越和１０１ 午飯吃完了就去看新光三越和１０１
我們認識已經一年多了 我們認識以後已經一年多了
我夏天的衣服帶不夠 我夏天的衣服不夠
那裡有臺灣最大的國家公園 那裡有在臺灣最大的國家公園
我已經訂華國大飯店了 我已經訂華國大飯店好了
空氣滿好的 空氣滿好
我想請全部朋友來玩 我想請全部來玩
會帶一個綠色的包包 也帶一個綠色的包包
但是我們現在連見面都還沒 但是我們連見面都還沒
當時因為我暗戀他 當時因為我暗戀
你雖然從上個月起跟我一起生活 你雖然從上個月起跟我一起過生活
所以應該會晚點回宿舍 所以應該會晚點回來宿舍
我只好等半個小時上下一輛巴士 我只好得等半個小時上下一輛巴士
我還是認為值得 我還是認為值得了
我覺得我們要大聲點 我覺得我們要大聲
第一個就是高鐵站沒有出租汽車 第一個就是高鐵站沒有出租汽
我們一起吃午餐以後 我們一起吃餐以後
那邊的風景美不勝收 那邊風景美不勝收
是很舒服的溫度 也是很舒服的溫度
剛開始認識的時候 開始認識的時候
讓我覺得很緊張 我覺得很緊張
我夢中的夏威夷有金黃的沙灘 我的夢中的夏威夷有金黃的沙灘
我怕他掉下去 我怕他下去
我爺爺看了我們以後 我爺爺也看了我們以後
我很高興 我很高興了
家人都很累 我家人都很累
寒假的時候 我寒假的時候
親愛的 親愛
我的心情很好 我的心情很好了
很高興 很高興了
音樂會大約九點半結束 音樂會大約為九點半結束
然後我們搭計程車去國父紀念館參觀交響音樂會 然後我們搭計程車去國父紀念館去參觀交響音樂會
有一家做得非常好吃的饅頭 有一家做非常好吃的饅頭
我跟他在一起的時候 我跟他一起的時候
對我身體健康有幫助 對我身體健康
祝健康 健康
我才常常跟他在網路上聊天 我才常常跟他在網路聊天
你起來得比我早 你起來比我早
免得我被吵醒之後就沒辦法再睡了 免得我被吵醒之後沒辦法再睡了
馬上把髒衣放到洗衣機去 馬上把髒衣到洗衣機去
在那邊我碰到一個非常棒的男生 那邊我碰到一個非常棒的男生
而且是很帥的男生 而且很帥的男生
我希望將我的男朋友介紹給妳 我希望我的男朋友介紹給妳
我一定問我爸爸有沒有建議 我一定問我爸爸他有沒有建議
如果我是大學的歷史老師 如果我是大學歷史老師
他的話經常有道理 經常有道理
讓學生一起討論問題 讓學生跟一起討論問題
他們就可以學很多歷史 他們就可以學得很多歷史
只要知道你自己很有能力 只要知道你自己很能力
我希望教歷史課因為我很喜歡學歷史 我希望教歷史的課因為我很喜歡學歷史
我開始說英文了 我開始說英文
有一個服務生還給我了 有一個服務生還給我
我就知道我的英文真差 我就知道我的英文真很差
我在飯店丟了我的錢包 我在飯店丟了我錢包
這個是我的第一個問題 這個是我第一個問題
我真怕 我真很怕
最好是一點 最好一點
他們有可以續杯的啤酒 他們有續杯的啤酒
這就要從大學的羽毛球社團說起了 這就要從大學的打羽毛球社團說起了
學習的時候當然要認真 學習的時候當然要認真的
上課的時候當然要考試和學生詞 上課的時候當然要寫考試和學生詞
啊對了 啊對
氣象報告說了天氣會好 氣象報告了天氣會好
所以你應該不知道我長得像什麼樣子 所以你應該不知道我像什麼樣子
大部分都又便宜又好吃 大部分又便宜又好吃
吃的時候跟旁邊的人一起吃 吃的時候跟旁邊的人可以一起吃
我發現你最近睡覺時間太短了 我發現了你最近睡覺時間太短了
可是中國人常常拿著碗吃飯 可是中國人常常拿著碗子吃飯
人們都說東方國家中種類最多味道也最好的就是中國菜 人們都說東方國家中種類最多味道也好的就是中國菜
自然也要關心別人 自然關心別人
所以不只注意自己 所以不只注意自己吃
怎麼孔子的後代這麼沒禮貌 怎麼孔子的後代人這麼沒禮貌
我把它拿出來一看 我把它拿出來看一看
那裡有台灣國家公園 那裡台灣國家公園
我已經都想過要去哪裡了 我已經都想過要去哪裡
聽說下個月你們要來台灣旅行 聽說下個月你們來台灣旅行
那裡的店員已經認識我了 那裡的店員已經認識我
練習說中文 這是練習說中文
讓大家如痴如醉地聽他有名的歌 讓大家如痴如醉聽他有名的歌
但是可以吃好吃的菜 但是可以吃好吃的菜就吃飽了
那時候在我的國家有好幾處西班牙殖民地 那時候在我的國家有好幾西班牙殖民地
真的是一石二鳥 真的一石二鳥
平常上午十點下課 平常也上午十點下課
開玩笑 說開玩笑
是這樣子的 是這樣子
第二個原因是關於中國大陸跟非洲的關係 第二個原因關於中國大陸跟非洲的關係
連吃便宜的東西都要開很久才吃得到 連吃便宜的東西要開很久才吃得到
這就是我最近交往了個男朋友 這就是我最近交往了男朋友
沒有時間去 沒有時間計畫去
太可惜我們已經當了筆友那麼久了但是還沒見過面 太可惜我們已經當了筆友那麼久了但是還沒見面
吃完早餐之後 吃早餐之後
我們就取消這個計畫 我們就可以取消這個計畫
這樣你應該能認得我 這樣你能認得我
從我到了台灣以來 從我先到了台灣以來
反而她擔心我的身體健康 她擔心我的身體健康
我覺得目前我們上課的內容是無聊得不得了 我覺得目前我們上課的內容是非常無聊得不得了
後來我去「ＣｅｎｔｒａｌＰａｒｋ」走一走 後來我去「ＣｅｎｔｒａｌＰａｒｋ」去走一走
那裡排隊隊伍人山人海 那裡排隊人山人海
讓我們每個禮拜有兩三天在５０４演講廳好好地準備 讓我們每個禮拜有兩三天在５０４演講廳可以好好地準備
為了開始練習表演 然後為了開始練習表演
我是數學老師 我是數學的老師
我大部分的學生都很用功上課 我大部分的學生都是很用功上課
煩請幫我們糾正中文發音和對白以及節奏感 煩請幫我們糾正中文發音和對白節奏感
我真的很開心 我很開心
買桌椅 桌椅
依然找不到 依然找不到了
真的不好意思 不好意思
我們跳台灣原住民的舞蹈 是我們跳台灣原住民的舞蹈
而且一定會有些空教室可以使用吧 而且一定會有些教室可以使用吧
請老師幫我們告訴國語中心 請老師幫忙我們告訴國語中心
大概八點十分見面 大概八點十分鐘見面
還有三位從印尼來 還有三位從印尼
但我不太喜歡這裡流行的衣服 我不太喜歡這裡流行的衣服
下雨的話 下雨天的話
１００年０４月２３日 １００年０４月２３
我得去睡覺了 我得去睡覺
所以喜歡看這本書的人也越來越多 所喜歡看這本書的人也越來越多
經過這件事我想把志工活動再繼續下去 經過這件事我想把志工活動繼續下去
已經穿過的衣服把它洗一洗 已經穿的衣服把它洗一洗
為這樣的學生 為了這樣的學生
祝你身體健康 祝你的身體健康
以後我真的會努力學習 以後我真的努力學習
一定要買很好的位子的票 一定要買很好位子的票
所以如果你也看到城市裡面那漂亮風景的話 所以如果你也看到城市裡面那風景的話
我覺得歐洲人好像很幸福的樣子 我覺得歐洲人很幸福的樣子
滿足他們想要的環境 滿足他們的環境
就是我們的票跟我們坐的火車票不一樣 就是我們的票跟我們坐火車票不一樣
可是那個服務生說話的樣子 可是那個服務生說的樣子
旁邊有一家很好的小吃店 那裡旁邊有一家很好的小吃店
要是你也想去什麼店 要是你也想什麼店
我們吃完飯以後 我們吃飯以後
穿白色的外套 和穿白色的外套
因為雖然我說很好的波蘭文 因為雖然我當然說很好的波蘭文
我想教英文課 這下子我想教英文課
今年我去我朋友的國家旅行 今年我去我朋友國家旅行
看台北的風景 看台北風景
他們不會回答 他們回答
他們不會告訴你 不會告訴你
下次 下次後
但是特別的台灣餐館只有中文字 但是特別的台灣餐館只有中文寫字
我們可以打電話聯絡 我們可以用打電話聯絡
我要確定見面的時間和地方 我要確定見面的時間和地方什麼的
要不然沒有意思 要不然沒有意思了
我很興奮因為我們快要見面了 我很興奮因為我們快要見面
你可以看四十三街亮亮的燈光 你可以看四十三街的亮亮的燈光
紐約市的夜景非常漂亮 紐約市的夜風景非常漂亮
請你快告訴我這個安排好不好 請你快要告訴我這個安排好不好
然後要去西門町看電影 然後要去西門町看電影吧
請您來看我們的練習 請您看我們的練習
現在台灣也是秋天可是跟日本的秋天不太一樣 現在台灣也秋天可是跟日本的秋天不太一樣
雖然這些殖民地是由西班牙來建立的 雖然這些殖民地是由西班牙來建立
打電話給我 打電話給我的手機
應該很容易找到吧 應該容易找到吧
還有房子裡面一定要有客廳 還有房子裡面一定要客廳
而且在陽台可以看風景 而且在陽台看風景
如果可以的話 如果我可以的話
我覺得不是家 覺得不是家
我們就參觀了很多地方 我們就參觀很多地方
可是電費是自己付的 可是電費是自己付的方式
他可真是一個熱心的人 他可真一個熱心的人
可是她一看到我臉變不一樣她就立刻問我 可是她一到我臉變不一樣她就立刻問我
這部電影有兩個半小時 部電影有兩個半小時
也跟香港與日本打仗有關的 也跟香港日本打仗有關的
因為海報上寫「ＩＰＭＡＮ」而且男主角還是滿有名的明星 因為海報上寫「ＩＰＭＡＮ」而且男主角還滿有名的明星
我第一次看到這部電影的海報的時候 我第一次看到部電影的海報的時候
我最喜歡的一部電影是「葉問」 我最喜歡的一部電影「葉問」
從那個時候到現在我們已經當了很久好朋友 從那個時候到現在我們已經當了好朋友
他十二歲 他是十二歲
我在洛杉磯租了一個兩房的公寓 我在洛杉磯租了一個兩房間的公寓
我念大學的時候學過一點中文 我念大學的時候我學過一點中文
我可能會放棄學習國語 我可能放棄學習國語
在生活上我不知道我能做什麼 在生活上我不知道做什麼
我想跟你說一些事情 我想跟你說有一些事情
這是我第一次一個人住 是我第一次一個人住
當然家庭的生活情況變得困難 當然家庭的生活情況變困難
我的台灣生活一定會很辛苦 我的台灣生活一定會辛苦
那本書裡面介紹了我的國家的歷史 那本書裡面介紹我的國家的歷史
我就馬上把鳥放在那一隻公的鳥旁邊 我就馬上把鳥放在那一隻公的鳥
因為在這兒應有盡有 是因為在這兒應有盡有
現在很後悔 現在很有後悔
我們可以去那個在你家附近的咖啡廳 我們可以去那個在你家的附近的咖啡廳
在那裡可以有機會好好兒跟他說話 在那裡有機會好好兒跟他說話
並不是我想得那麼容易 並不我想得那麼容易
當在跳舞的時候忽然看見一位美麗的小姐在我的前面跟別人聊天 當在跳舞的時候忽然看見一位美麗的小姐在我的前面跟別人在聊天
以及他們有最多的經驗 以及他們是有最多的經驗
我是王天華 我是王天華先生
上個星期在你的生日會上玩得很開心 上個星期在你的生日會玩得很開心
我認識了很多從各地來的新朋友 我認識了很多從各式各地來的新朋友
我常常去新北投 常常去新北投
內容是一對住在革命路上的威勒夫婦 內容是勾勒一對住在革命路上的威勒夫婦
常常只有兩頁 常常只有兩個頁
母親 致母親
麥克風是為了我們的歌 克風是為了我們的歌
我還滿年輕的 我還滿年輕
這房子離以前的很近所以很容易找到 這房子離以前的很近所以很容易找到了
最後他給我打七五折 最後他給我打七十五折
我的目的是幫助學生認識他們潛在的能力 我的目的是幫助學生認識到他們潛在的能力
老闆說這一隻鳥是母的 老闆是說這一隻鳥是母的
因為我想找一隻母的鴿子給我的另一個單身的鴿子 因為我想找一隻母的鴿子個給我的另一個單身的鴿子
那個晚上雖然我一個人在異國機場再等五個小時 那晚上雖然我一個人在異國機場再等五個小時
我以前在印尼時曾經養過鴿子 我以前在印尼時曾經有養過鴿子
我看冰淇淋的棒子 我看冰淇淋的棒
當然我進步得很快 當然我進步很快
所以現在也記得很清楚 所以現在也記得清楚
那裡寫著送一個冰淇淋 那裡寫送一個冰淇淋
可是他已經算別的人了 可是他已經算別的人
也有很多人排了隊 也很多人排了隊
